Year,State,Food-at-home sales without taxes and tips (millions of nominal U.S. dollars),Food-away-from-home sales without taxes and tips (millions of nominal U.S. dollars),Total food sales without taxes and tips (millions of nominal U.S. dollars),Food-at-home sales without taxes and tips (millions of constant U.S. dollars (1988=100)),Food-away-from-home sales without taxes and tips (millions of constant U.S. dollars (1988=100)),Total food sales without taxes and tips (millions of constant U.S. dollars (1988=100))
2000,Wyoming,919.07,652.37,"1,571.44",612.36,474.81,"1,087.17"
2001,Wyoming,984.78,659.73,"1,644.51",629.82,465.46,"1,095.28"
2002,Wyoming,"1,020.80",698.23,"1,719.03",640.89,476.9,"1,117.79"
2003,Wyoming,"1,048.77",728.8,"1,777.57",641.16,488.31,"1,129.47"
2004,Wyoming,"1,116.27",776.2,"1,892.47",657.89,504.55,"1,162.44"
2005,Wyoming,"1,170.26",812.52,"1,982.78",683.48,509.9,"1,193.38"
2006,Wyoming,"1,222.76",848.73,"2,071.49",705.65,517.44,"1,223.09"
2007,Wyoming,"1,267.83",888.9,"2,156.73",698.75,523.18,"1,221.93"
2008,Wyoming,"1,325.52",936.99,"2,262.51",688.1,531.28,"1,219.38"
2009,Wyoming,"1,267.63",940.18,"2,207.81",662.88,516.98,"1,179.86"
2010,Wyoming,"1,282.06",963.03,"2,245.09",674.47,523.4,"1,197.87"
2011,Wyoming,"1,309.96","1,011.60","2,321.56",657.04,537.73,"1,194.77"
2012,Wyoming,"1,359.82","1,067.24","2,427.06",669.96,550.46,"1,220.42"
2013,Wyoming,"1,392.72","1,124.33","2,517.05",680.08,567.95,"1,248.03"
2014,Wyoming,"1,439.42","1,195.99","2,635.41",683.79,589.58,"1,273.37"
2015,Wyoming,"1,471.14","1,303.37","2,774.51",687.35,624.56,"1,311.91"
2016,Wyoming,"1,472.97","1,341.12","2,814.09",696.19,622.23,"1,318.42"
2017,Wyoming,"1,503.78","1,413.83","2,917.61",712.96,635.14,"1,348.10"
2018,Wyoming,"1,545.27","1,465.04","3,010.31",729.44,636.46,"1,365.90"
2019,Wyoming,"1,576.00","1,536.05","3,112.05",732.78,644.4,"1,377.18"
2020,Wyoming,"1,700.04","1,486.93","3,186.97",760.14,596.47,"1,356.61"
2021,Wyoming,"1,816.22","1,898.14","3,714.36",778.15,726.03,"1,504.18"
2022,Wyoming,"2,067.64","2,048.85","4,116.49",795.19,730.46,"1,525.65"
2023,Wyoming,"2,099.75","2,139.25","4,239.00",771.82,709.8,"1,481.62"
2024,Wyoming,"2,141.08","2,174.12","4,315.20",776.15,689.49,"1,465.64"
